,Tweet,Autor,Fecha,Total Favs,Total RTs
0,El ex presidente de Paraguay Horacio Cartes dirige un grupo económico que lleva su apellido y que cuenta con más de… https://t.co/2XHlrDjxdI,LabCronos,2022-06-15 14:36:53,0,0
1,RT @aestigarribia: Alemania tiene altos impuestos para los empresarios y establecidos muchos derechos laborales para los trabajadores. Para…,albertomedina71,2022-06-15 14:36:51,18,0
2,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",lopez_leolopez,2022-06-15 14:36:44,37,0
3,"#WayraStartups | @Joinnus alista su ingreso a México y busca cerrar una ronda de inversión este año⚡

La meta es te… https://t.co/DWu1xituqY",wayrahispam,2022-06-15 14:36:39,0,0
4,"Paraguay recibe premio Forum por su apoyo y crecimiento en el turismo de reuniones - .::Agencia IP::.

https://t.co/fbq4V4C27Z",nyoticiaspy,2022-06-15 14:36:36,0,0
5,"RT @topone71: El final de la historia ya lo conocemos. Tenemos un montón de idiotas en el poder, con opositores similares que en esa época…",MartSalAcker,2022-06-15 14:36:29,4,0
6,"RT @DCCO_Paraguay: #Amambay Agentes del @DCCO_Paraguay forman parte del ""Operativo Persea del Norte”. Varios allanamientos simultáneos en l…",PerlaSilguero,2022-06-15 14:36:20,1,0
7,"RT @AlamVera2: Supuestamente Tabesa USA tenía que comprar de Tabesa Paraguay para enviar a Aruba.
Pero como el barco no llegaría a tiempo.…",barbozaalan_,2022-06-15 14:36:16,86,0
8,"RT @juankilezcano: Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputado, q…",mirtiapthorpe,2022-06-15 14:36:12,5,0
9,"RT @VTVcanal8: Bolivia integrará ruta bioceánica con Brasil, Paraguay, Argentina y Chile

#LaVozDeVenezuelaEnQatar 

https://t.co/rQnjs6z1E…",abuelacata2,2022-06-15 14:36:11,45,0
10,RT @topone71: Hoy hace 10 años que la Embajada Americana con sus narcos preferidos (Cartistas) y corruptos aspiracionales (liberales) asesi…,MartSalAcker,2022-06-15 14:36:08,10,0
11,"Just posted a photo @ Asunción, Paraguay https://t.co/KSUfqFZEzQ",ArielBaz,2022-06-15 14:36:06,0,0
12,"RT @martinezmerce18: Millones de pesos salen de Argentina x mes a Bolivia y Paraguay 
Por giro o en efectivo
La mayoría dinero de planes so…",Luis97848484,2022-06-15 14:35:59,10,0
13,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",barbozaalan_,2022-06-15 14:35:52,37,0
14,"RT @cdeparaguay: A 10 años de la Masacre de Marina Kué, la pregunta ""¿Qué pasó en Curuguaty?"" sigue retumbando en la memoria. Aquí algunos…",gurisciacca,2022-06-15 14:35:47,14,0
15,"#Amambay Agentes del @DCCO_Paraguay forman parte del ""Operativo Persea del Norte”. Varios allanamientos simultáneos… https://t.co/D6cUvrAAfq",DCCO_Paraguay,2022-06-15 14:35:42,1,0
16,"RT @Mariano31975056: Santi dijo que en el paraguay no hay lavado de dinero, pero el grupo al cual pertenece acusa al diario ABC de lavar di…",Tata_Beto_Py,2022-06-15 14:35:39,4,0
